Lista informal de Requisitos,athena,iteração 2,64,closed,@eliseuegewarth
Requisitos,athena,iteração 2,65,closed,@felipe72
Backlog,athena,iteração 2,70,closed,@Jefersonalves
Backlog Validado,athena,iteração 2,66,closed,@gag2502
Backlog Refinado,athena,iteração 2,67,closed,@GDSRS
Backlog da Release,athena,iteração 2,71,closed,@lopes05
Planejamento de Treinamentos,athena,iteração 2,68,open,@halevalente
Backlog da Sprint,athena,iteração 2,69,closed,@henriquedutra
Testes de Software,athena,iteração 2,72,closed,@marimendes
Incremento de Software,athena,iteração 2,73,closed,@mateusdemorais
Backlog da Release Refinado,athena,iteração 2,74,closed,@peddrro
Relatório da Retrospectiva,athena,iteração 2,75,open,@Renatafsouza
Plano de medição,athena,iteração 2,76,closed,@VictorArnaud
Plano de medição Refinado,athena,iteração 2,77,open,@wparaujo
Métricas de Processo,athena,iteração 2,78,closed,@eliseuegewarth
Métricas de Código,athena,iteração 2,79,closed,@ felipe72
Documentação da análise das Métricas,athena,iteração 2,80,closed,@gag2502
Relatório de Desempenho,athena,iteração 2,81,closed,@GDSRS
Relatório Final,athena,iteração 2,82,open,@halevalente
Melhoria da qualidade do processo ou do produto,athena,iteração 2,83,closed,@henriquedutra
Processo do ciclo de desenvolvimento,athena,iteração 2,84,closed,@Jefersonalves
Subprocesso Requisitos,athena,iteração 2,85,closed,@lopes05
Subprocesso Desenvolvimento,athena,iteração 2,86,closed,@marimendes
Medição e Análise,athena,iteração 2,87,closed,@mateusdemorais
Lista informal de Requisitos,athena,iteração 3,102,closed,@eliseuegewarth
Requisitos,athena,iteração 3,125,closed,@felipe72
Backlog,athena,iteração 3,120,closed,@gag2502
Backlog Validado,athena,iteração 3,124,closed,@GDSRS
Backlog Refinado,athena,iteração 3,123,open,@halevalente
Backlog da Release,athena,iteração 3,119,closed,@henriquedutra
Planejamento de Treinamentos,athena,iteração 3,121,closed,@Jefersonalves
Backlog da Sprint,athena,iteração 3,122,closed,@lopes05
Testes de Software,athena,iteração 3,118,closed,@marimendes
Incremento de Software,athena,iteração 3,117,closed,@mateusdemorais
Backlog da Release Refinado,athena,iteração 3,116,closed,@wparaujo
Relatório da Retrospectiva,athena,iteração 3,115,open,@Renatafsouza
Plano de medição,athena,iteração 3,114,closed,@VictorArnaud
Plano de medição Refinado,athena,iteração 3,113,closed,@wparaujo
Métricas de Processo,athena,iteração 3,103,closed,@eliseuegewarth
Métricas de Código,athena,iteração 3,112,closed,@felipe72
Documentação da análise das Métricas,athena,iteração 3,111,closed,@gag2502
Relatório de Desempenho,athena,iteração 3,110,closed,@GDSRS
Relatório Final,athena,iteração 3,109,open,@halevalente
Melhoria da qualidade do processo ou do produto,athena,iteração 3,108,closed,@henriquedutra
Processo do ciclo de desenvolvimento,athena,iteração 3,107,closed,@Jefersonalves
Subprocesso Requisitos,athena,iteração 3,106,closed,@lopes05
Subprocesso Desenvolvimento,athena,iteração 3,105,closed,@marimendes
Medição e Análise,athena,iteração 3,104,closed,@mateusdemorais
